97,97,,,47,1212,63,168.00,73.40,31.84,2481,182095.00
407,407,,,75,1180,63,225.00,78.44,40.30,3487,273503.00
467,467,,,79,336,63,245.00,73.24,55.19,3588,262791.00
57,57,,,45,1467,64,133.00,47.34,26.76,3590,169954.00
89,89,,,47,1510,64,100.00,34.76,17.35,4750,165119.00
408,408,,,71,249,64,247.00,85.72,59.86,2672,229041.00
613,613,,,92,1418,64,196.00,56.87,36.74,2703,153727.00
614,614,,,90,1204,64,233.00,92.27,59.90,2497,230403.00
131,131,,,51,1371,65,181.00,61.68,31.59,3161,194962.00
162,162,,,56,274,65,210.00,67.70,49.59,3966,268508.00
163,163,,,55,333,65,237.00,67.89,52.80,3716,252274.00
445,445,,,74,268,65,235.00,92.11,61.62,2733,251737.00
461,461,,,77,308,65,243.00,79.28,56.67,3396,269228.00
479,479,,,78,591,65,156.00,41.47,28.75,5590,231833.00
495,495,,,81,1375,65,191.00,71.00,40.96,3147,223432.00
606,606,,,91,1241,65,206.00,70.64,45.76,3121,220475.00
615,615,,,91,1364,65,188.00,63.15,41.13,3326,210053.00
119,119,,,51,1248,66,167.00,66.79,33.74,2878,192212.00
142,142,,,54,313,66,218.00,61.46,47.31,4208,258642.00
70,70,,,45,669,67,118.00,37.82,22.05,4702,177834.00
209,209,,,58,1434,67,142.00,50.01,27.11,2501,125082.00
318,318,,,65,264,67,230.00,112.43,46.38,2038,229124.00
366,366,,,69,220,67,234.00,70.01,49.98,3981,278695.00
536,536,,,82,1226,67,221.00,92.09,50.46,2785,256476.00
537,537,,,82,1252,67,227.00,89.15,47.77,2619,233483.00
538,538,,,83,1268,67,238.00,101.11,54.97,2403,242969.00
3,3,,,38,1258,68,143.00,53.47,30.10,4442,237508.00
121,121,,,50,1197,68,185.00,79.54,36.30,2655,211166.00
334,334,,,66,192,68,219.00,56.71,45.57,3520,199615.00
446,446,,,78,1398,68,252.00,97.37,55.21,3961,385684.00
24,24,,,41,1382,69,169.00,53.88,33.13,3980,214445.00
31,31,,,45,1179,69,167.00,74.56,39.02,2858,213087.00
132,132,,,52,1057,69,84.00,30.32,13.03,3909,118527.00
595,595,,,89,1025,69,173.00,46.82,32.37,4180,195708.00
164,164,,,53,1167,70,186.00,77.28,39.28,2658,205420.00
481,481,,,79,438,70,175.00,47.63,33.11,5269,250947.00
30,30,,,44,1348,71,153.00,56.55,33.01,3242,183323.00
111,111,,,51,1128,71,140.00,42.47,24.50,3966,168424.00
165,165,,,54,1152,71,139.00,52.70,25.92,3203,168806.00
232,232,,,60,237,71,222.00,61.30,48.95,4057,248712.00
480,480,,,78,1168,71,236.00,101.08,56.22,2397,242295.00
519,519,,,82,622,71,172.00,49.96,36.67,5612,280350.00
600,600,,,89,1450,71,204.00,63.75,44.68,3217,205099.00
25,25,,,41,1284,72,140.00,55.83,29.03,3085,172229.00
81,81,,,47,496,72,162.00,48.40,33.62,4536,219560.00
82,82,,,47,701,72,184.00,56.87,43.28,3889,221161.00
468,468,,,78,1151,72,178.00,61.70,37.90,3654,225465.00
560,560,,,86,1051,72,228.00,70.26,56.69,2894,203329.00
584,584,,,88,1427,72,204.00,73.59,46.89,3683,271032.00
616,616,,,92,1259,72,216.00,74.55,48.21,2936,218886.00
7,7,,,39,1190,73,162.00,59.63,35.31,3569,212828.00
15,15,,,42,1271,73,175.00,66.17,37.67,3438,227490.00
27,27,,,41,1364,73,155.00,55.61,32.60,3779,210154.00
179,179,,,56,1494,73,178.00,49.52,36.46,3873,191796.00
231,231,,,58,1416,73,181.00,63.68,37.20,4158,264796.00
554,554,,,85,768,73,228.00,66.31,50.31,3735,247659.00
608,608,,,90,1385,73,234.00,73.51,51.90,2714,199514.00
4,4,,,39,1204,74,150.00,57.16,32.54,3185,182040.00
9,9,,,39,1224,74,128.00,49.51,23.68,3936,194891.00
50,50,,,42,760,74,122.00,37.60,22.76,4596,172801.00
63,63,,,46,1419,74,169.00,59.43,34.61,4101,243736.00
112,112,,,51,737,74,187.00,53.36,44.31,4007,213822.00
180,180,,,56,1513,74,166.00,49.85,36.81,3924,195600.00
190,190,,,56,1535,74,146.00,40.28,27.25,4264,171742.00
351,351,,,66,285,74,199.00,68.12,43.72,2632,179291.00
424,424,,,74,1537,74,164.00,46.95,34.57,3988,187256.00
561,561,,,84,1213,74,195.00,81.05,42.62,2480,200995.00
39,39,,,42,870,75,110.00,37.19,21.16,4128,153507.00
144,144,,,54,380,75,195.00,59.29,41.71,4639,275040.00
301,301,,,64,330,75,227.00,94.17,52.15,2716,255774.00
447,447,,,75,1417,75,214.00,74.66,47.38,3124,233230.00
462,462,,,76,396,75,220.00,61.71,46.24,4221,260497.00
497,497,,,80,1129,75,162.00,51.76,33.24,4365,225938.00
38,38,,,41,963,76,112.00,38.01,21.55,3685,140049.00
49,49,,,46,1336,76,188.00,67.71,38.50,2966,200816.00
210,210,,,59,264,76,207.00,67.19,47.35,3683,247469.00
302,302,,,65,578,76,98.00,33.35,17.32,5976,199293.00
305,305,,,67,1106,76,175.00,60.83,37.85,3221,195927.00
375,375,,,70,255,76,211.00,68.14,48.08,3262,222272.00
409,409,,,75,1334,76,246.00,76.43,50.31,4016,306932.00
607,607,,,88,1335,76,231.00,92.86,53.48,2336,216918.00
618,618,,,91,1285,76,217.00,76.19,50.49,2864,218215.00
37,37,,,43,1160,77,146.00,55.04,30.43,3660,201454.00
167,167,,,58,712,77,211.00,56.56,39.94,8204,463991.00
181,181,,,56,1281,77,211.00,82.53,45.22,2414,199219.00
264,264,,,64,390,77,161.00,53.26,32.53,3896,207482.00
452,452,,,78,1450,77,184.00,62.92,37.37,2773,174465.00
470,470,,,75,331,77,239.00,86.95,59.58,3067,266674.00
609,609,,,90,1365,77,223.00,80.68,53.29,2520,203303.00
619,619,,,91,1226,77,184.00,66.70,40.50,2721,181489.00
10,10,,,40,1175,78,163.00,57.61,32.86,3309,190645.00
250,250,,,59,1334,78,205.00,69.04,42.81,3425,236458.00
