267,267,DA5,,60,735,92,231.00,66.82,53.96,3124,208736.00
238,238,DA6,,59,584,90,237.00,63.07,51.85,3904,246237.00
255,255,DA7,,60,457,87,245.00,74.99,57.15,3489,261630.00
796,796,DA8,,60,343,82,20.00, 2.69, 2.84,1413,3806.00
470,470,DA9,,75,331,77,239.00,86.95,59.58,3067,266674.00
663,663,DB1,,64,1145,105,12.00, 2.49, 2.30,1413,3525.00
874,874,DB2,,62,1205,102,13.00, 2.13, 1.96,1413,3012.00
257,257,DB3,,60,1059,97,184.00,52.02,39.12,3471,180573.00
242,242,DB4,,60,925,97,184.00,49.51,40.58,4264,211126.00
268,268,DB5,,61,766,93,207.00,57.76,46.21,3726,215222.00
239,239,DB6,,59,608,92,223.00,70.56,54.81,3312,233685.00
254,254,DB7,,61,477,87,228.00,62.32,51.36,4260,265479.00
664,664,DD1,,60,1149,97,12.00, 2.36, 2.21,1413,3333.00
896,896,DD2,,62,988,97,11.00, 1.65, 1.94,1413,2338.00
222,222,DD3,,58,832,94,206.00,56.52,46.76,4337,245138.00
237,237,DD4,,60,665,89,229.00,67.89,51.31,3454,234503.00
266,266,DD5,,61,519,89,249.00,80.24,62.28,2761,221529.00
797,797,DD6,,66,346,77,18.00, 3.09, 2.93,1413,4364.00
314,314,DEP,,65,272,51,220.00,82.94,49.66,3169,262837.00
870,870,DL1,,52,1476,47,140.00,47.10,23.25,4128,194433.00
861,861,DL10,,48,1086,34,103.00,16.55,22.23,2323,38435.00
149,149,DL11,,54,999,32,163.00,47.21,33.72,3931,185569.00
859,859,DL12,,56,955,33,158.00,45.70,31.33,4534,207226.00
185,185,DL13,,56,893,31,168.00,51.18,37.77,3947,201995.00
152,152,DL14,,55,829,34,185.00,46.51,32.13,3746,174235.00
201,201,DL15,,58,790,35,194.00,52.51,38.89,3642,191235.00
858,858,DL16,,57,742,32,189.00,55.06,39.56,4087,225037.00
857,857,DL17,,57,635,32,207.00,53.81,41.29,4239,228099.00
856,856,DL18,,57,559,37,196.00,57.40,43.68,3999,229531.00
855,855,DL19,,57,484,36,207.00,58.80,45.97,4749,279254.00
869,869,DL2,,52,1455,40,136.00,52.62,26.57,3236,170276.00
854,854,DL20,,57,408,40,201.00,54.95,42.77,4381,240751.00
853,853,DL21,,62,240,48,196.00,61.12,44.55,3518,215031.00
868,868,DL3,,52,1408,33,154.00,51.04,27.02,3591,183290.00
74,74,DL4,,47,1369,40,143.00,59.98,25.95,2545,152643.00
867,867,DL5,,54,1306,31,155.00,55.18,28.03,3720,205264.00
107,107,DL6,,49,1294,40,141.00,49.91,27.64,4038,201527.00
864,864,DL7,,62,1208,28,176.00,40.02,41.53,3391,135703.00
862,862,DL8,,54,1170,27,140.00,46.04,26.92,4242,195320.00
184,184,DL9,,56,1112,28,155.00,52.67,35.55,2658,140005.00
837,837,DR1,,84,1485,51,156.00,46.59,28.48,4136,192707.00
845,845,DR10,,84,1088,36,217.00,56.90,41.38,4217,239954.00
846,846,DR11,,75,1038,26,188.00,52.57,41.74,4382,230355.00
847,847,DR12,,81,983,37,208.00,54.49,40.78,4468,243460.00
849,849,DR13,,78,935,35,174.00,26.97,35.60,2957,79753.00
506,506,DR14,,82,878,43,206.00,58.12,46.10,4238,246305.00
850,850,DR15,,81,806,40,211.00,56.71,44.16,3945,223731.00
505,505,DR16,,81,739,40,218.00,59.97,47.57,4321,259124.00
491,491,DR17,,80,666,43,198.00,58.68,45.43,4286,251519.00
851,851,DR18,,78,587,40,243.00,63.51,49.26,3852,244659.00
431,431,DR19,,75,515,42,230.00,60.67,48.88,4337,263142.00
838,838,DR2,,84,1446,40,156.00,56.11,32.37,2039,114403.00
355,355,DR20,,69,445,44,211.00,59.22,42.69,3557,210659.00
852,852,DR21,,72,304,41,216.00,69.94,45.21,3845,268925.00
488,488,DR3,,80,1425,39,173.00,57.30,34.01,3380,193669.00
839,839,DR4,,90,1391,44,164.00,62.02,34.46,3448,213851.00
841,841,DR5,,82,1339,36,191.00,34.26,41.38,2599,89037.00
565,565,DR6,,87,1311,43,186.00,62.13,37.67,3474,215824.00
842,842,DR7,,78,1211,30,194.00,67.72,36.12,3854,260990.00
843,843,DR8,,81,1175,32,206.00,71.49,44.23,3554,254090.00
844,844,DR9,,81,1129,29,175.00,51.71,36.54,4244,219466.00
315,315,DVA,,66,289,54,241.00,88.88,47.03,3042,270369.00
318,318,DVC,,65,264,67,230.00,112.43,46.38,2038,229124.00
776,776,E1D,,71,1465,48,32.00, 2.91, 2.71,1413,4107.00
777,777,E1VL,,57,1476,73,26.00, 4.82, 3.24,1413,6805.00
778,778,E1VR,,80,1483,75,23.00, 3.83, 2.82,1413,5406.00
781,781,E2D,,65,1534,47,132.00,41.76,24.74,3444,143814.00
190,190,E2VL,,56,1535,74,146.00,40.28,27.25,4264,171742.00
424,424,E2VR,,74,1537,74,164.00,46.95,34.57,3988,187256.00
771,771,E3D,,70,1428,48,27.00, 3.62, 2.89,1413,5108.00
774,774,E3VL,,56,1448,73,29.00, 3.41, 2.71,1413,4822.00
452,452,E3VR,,78,1450,77,184.00,62.92,37.37,2773,174465.00
683,683,EXC DUCT,,52,1217,77,135.00,60.44,27.49,2954,178527.00
86,86,EXC GL L,,48,1129,91,155.00,46.91,33.90,4102,192411.00
500,500,EXC GL R,,81,1141,93,223.00,65.04,48.28,3306,215015.00
671,671,EXC,,61,1207,89,14.00, 3.21, 2.39,2103,6743.00
333,333,F,,66,303,60,241.00,96.52,52.81,2869,276907.00
7,7,FLPL,,39,1190,73,162.00,59.63,35.31,3569,212828.00
638,638,FLPR,,88,1190,73,25.00, 3.07, 2.69,1413,4333.00
309,309,G1,,63,1268,102,159.00,56.39,34.31,3244,182924.00
139,139,G1AL,,52,1165,49,138.00,56.45,27.75,3555,200688.00
507,507,G1AR,,80,1165,55,192.00,71.41,39.80,3135,223872.00
418,418,G1P,,75,1113,46,164.00,48.54,32.25,4916,238627.00
294,294,G2,,62,1246,96,199.00,79.39,40.98,2531,200927.00
220,220,G2L,,59,1116,83,210.00,68.00,46.34,3360,228480.00
908,908,G2R,,75,1116,83,11.00, 2.34, 2.04,1413,3310.00
657,657,GLRDL,,61,1278,47,10.00, 2.31, 1.87,1413,3268.00
643,643,GLRDR,,75,1281,47,14.00, 2.46, 2.00,1413,3472.00
658,658,GLRL,,54,1277,67,15.00, 2.81, 2.11,1413,3971.00
644,644,GLRR,,80,1278,74,12.00, 2.95, 2.30,1413,4166.00
181,181,GLRVL,,56,1281,77,211.00,82.53,45.22,2414,199219.00
645,645,GLRVR,,74,1282,81,13.00, 2.78, 1.95,1413,3933.00
44,44,H0L,,43,1412,60,119.00,43.94,21.21,4675,205410.00
613,613,H0R,,92,1418,64,196.00,56.87,36.74,2703,153727.00
712,712,H1L,,40,1308,68,12.00, 1.90, 1.92,2103,3990.00
693,693,H1R,,96,1323,67,17.00, 2.47, 2.37,3065,7572.00
820,820,H2L,,38,1155,63,94.00,39.49,15.63,4062,160421.00
799,799,H2R,,93,1165,59,158.00,49.65,28.11,2758,136943.00
866,866,HMC,,70,1181,33,172.00,21.83,36.19,1964,42871.00
82,82,HSNL,,47,701,72,184.00,56.87,43.28,3889,221161.00
482,482,HSNR,,78,712,78,249.00,77.92,60.88,3014,234855.00
784,784,HYP101,,64,118,62, 9.00, 1.24, 1.53,1413,1758.00
332,332,HYP102,,64,93,62,139.00,46.54,30.88,3581,166657.00
787,787,HYP11,,62,159,58,27.00, 1.61, 2.17,1413,2270.00
721,721,HYP1L,,51,1409,49,175.00,59.78,36.12,3371,201513.00
567,567,HYP1R,,88,1412,55,223.00,74.72,50.16,2773,207187.00
737,737,HYP1V,,72,1474,89,187.00,37.66,42.36,3241,122062.00
45,45,HYP2L,,44,1453,60,153.00,47.75,29.10,3644,174005.00
734,734,HYP2V,,70,1504,89,135.00,19.61,26.85,2345,45978.00
311,311,HYP31,,66,1521,38,177.00,52.79,36.40,3325,175527.00
246,246,HYP32,,60,1503,39,183.00,50.16,35.41,3776,189392.00
312,312,HYP4D,,64,1574,46,125.00,36.92,21.01,3849,142124.00
730,730,HYP4V1,,62,1597,78,152.00,44.56,29.39,3213,143181.00
322,322,HYP4V2,,64,1551,86,160.00,46.43,32.28,2958,137349.00
89,89,HYP5L,,47,1510,64,100.00,34.76,17.35,4750,165119.00
731,731,HYP5R,,86,1495,65,136.00,41.01,22.20,4122,169061.00
750,750,HYP6D1,,67,1459,33,146.00,24.01,35.58,2265,54379.00
747,747,HYP6D2,,66,1445,33,161.00,56.48,31.89,3374,190568.00
343,343,HYP6D3,,67,1403,32,182.00,64.42,38.48,3259,209949.00
342,342,HYP6D4,,67,1383,31,208.00,60.23,37.97,3741,225331.00
743,743,HYP6V1,,67,1466,96,15.00, 2.29, 2.28,1413,3240.00
341,341,HYP6V2,,66,1390,98,133.00,48.49,23.85,3489,169190.00
786,786,HYP71,,66,207,77,194.00,60.39,44.05,3611,218066.00
334,334,HYP72,,66,192,68,219.00,56.71,45.57,3520,199615.00
821,821,HYP7ABLD,,39,1084,58,80.00,28.44,12.35,4729,134508.00
822,822,HYP7ABLV,,39,1061,60,76.00,25.60,11.48,5212,133402.00
803,803,HYP7ABR3,,39,1113,52,82.00,22.21,18.01,4250,94413.00
804,804,HYP7ABRD,,90,1085,60,145.00,40.40,24.17,5177,209134.00
624,624,HYP7ABRV,,91,1113,78,134.00,41.84,23.44,4749,198714.00
746,746,HYP7D1,,66,1350,25,128.00,48.00,22.45,3870,185742.00
323,323,HYP7D2,,65,1249,29,142.00,50.25,24.39,3858,193865.00
825,825,HYP7LC1,,42,967,44,78.00,24.87,10.63,5159,128316.00
40,40,HYP7LC2,,43,847,48,88.00,28.18,13.63,5155,145252.00
828,828,HYP7LC3,,43,768,45,91.00,29.04,14.14,5261,152763.00
830,830,HYP7LC4,,45,633,50,139.00,32.09,17.40,6272,201246.00
76,76,HYP7LC5,,46,496,51,127.00,35.54,20.48,5789,205751.00
836,836,HYP7LC6,,52,301,48,148.00,20.97,27.95,3570,74849.00
805,805,HYP7RC1,,90,971,60,140.00,34.84,22.04,6107,212795.00
807,807,HYP7RC2,,85,862,67,133.00,38.18,24.69,5307,202645.00
810,810,HYP7RC3,,87,725,60,155.00,38.82,25.30,5764,223787.00
812,812,HYP7RC4,,86,613,53,157.00,40.93,27.50,5262,215374.00
529,529,HYP7RC5,,81,486,57,152.00,43.00,28.39,5799,249352.00
819,819,HYP7RC6,,80,314,49,171.00,32.62,32.78,3469,113168.00
742,742,HYP7V1,,66,1330,103,13.00, 2.14, 2.13,1413,3020.00
741,741,HYP7V2,,67,1307,105,158.00,53.31,27.58,2339,124688.00
788,788,HYP8,,66,165,66,12.00, 1.55, 1.68,1413,2185.00
785,785,HYP9,,66,129,68,10.00, 1.17, 1.51,1413,1656.00
231,231,I1L,,58,1416,73,181.00,63.68,37.20,4158,264796.00
447,447,I1R,,75,1417,75,214.00,74.66,47.38,3124,233230.00
758,758,I2L,,52,1375,80,25.00, 3.04, 2.47,1413,4298.00
761,761,I2R,,82,1378,80,15.00, 2.66, 2.24,1413,3755.00
347,347,I3,,67,1359,48,208.00,70.31,46.63,3588,252283.00
326,326,I4,,66,1173,40,211.00,74.80,43.55,3124,233660.00
306,306,I5,,66,1157,84,201.00,77.59,43.87,2791,216558.00
155,155,I6,,55,1152,42,201.00,63.34,42.75,3536,223971.00
728,728,IL1DL,,62,1331,42,20.00, 2.89, 2.75,1413,4080.00
710,710,IL1DR,,74,1337,44,23.00, 2.65, 2.65,1413,3742.00
30,30,IL1L,,44,1348,71,153.00,56.55,33.01,3242,183323.00
695,695,IL1R,,87,1348,73,16.00, 2.97, 2.51,1413,4191.00
716,716,IL1VL,,69,1340,93,40.00, 2.28, 2.61,1413,3222.00
699,699,IL1VR,,71,1326,93,11.00, 1.90, 1.82,1413,2686.00
727,727,IL2DL,,56,1350,37,169.00,61.23,36.32,3781,231514.00
455,455,IL2DR,,78,1352,37,235.00,79.96,47.45,4004,320178.00
21,21,IL2L,,41,1361,60,128.00,48.80,26.15,4028,196570.00
615,615,IL2R,,91,1364,65,188.00,63.15,41.13,3326,210053.00
